test_id,hypothesis,outcome,expected_direction,alternative,multiplicity_family,estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,n_obs,n_countries,n_years,treatment,pvalue_for_fdr,test_type,equivalence_bound_abs_sd,tost_p_lower,tost_p_upper,tost_pvalue,equivalent_within_bound_0_05,mde_80pct_power_abs_sd,gpr_sample,wald_chi2,df,n_country_clusters,n_entity_outcome_panels,n_year_outcome_fixed_effects,gpr_column,spec,exposure,threshold_eci_pre,test,threshold_type,group_dimension,target_group,reference_group,contrast,available_groups,control_strategy,qvalue_bh_full_reported_family,fdr_significant_0_05
H1_gvc_adverse_deviation_stability,H1,Adverse forward-GVC deviation stability,positive,greater,full_reported_family,0.14344626737773297,0.08255650250514245,1.7375526218397843,0.04314391907820143,-0.020944731103524072,0.30783726585899,0.05,999.0,999.0,858,78.0,11.0,s_tariff_weighted_us_diversion,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.4714285714285715,0
H2_log_export_recovery,H2,Log export recovery,positive,greater,full_reported_family,0.03683598887852108,0.037851542577845926,0.9731700842248042,0.16575231787136963,-0.037749321777953586,0.11142129953499574,0.298,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,0.86075,0
H3_partner_diversification_excl_us_china,H3,Partner diversification excluding US and China,positive,greater,full_reported_family,-0.006406437138246285,0.008483212900097169,-0.7551899514596532,0.7745410747470907,-0.02312234952721947,0.010309475250726901,0.629,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.629,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0
H1_sensitivity_gvc_signed_change,H1_sensitivity,Signed forward-GVC linkage change,positive,greater,full_reported_family,-0.2756037437151562,0.08280580862495768,-3.3283141399344927,0.9993289175289902,-0.4404911741032926,-0.11071631332701987,0.99,999.0,999.0,780,78.0,10.0,s_tariff_weighted_us_diversion,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0
H1_sensitivity_gvc_absolute_deviation_stability,H1_sensitivity,Absolute forward-GVC deviation stability,positive,greater,full_reported_family,-0.3666612795719903,0.19088066565450293,-1.9208927122857644,0.9707764643538717,-0.7467532440511799,0.013430684907199286,0.888,999.0,999.0,858,78.0,11.0,s_tariff_weighted_us_diversion,0.888,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0
H3_sensitivity_destination_entropy_excl_us_china,H3_sensitivity,Destination entropy excluding US and China,positive,greater,full_reported_family,-0.010482348291006633,0.019826643933767568,-0.5287000828795698,0.7012349671447449,-0.04955014570069196,0.028585449118678698,0.663,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.663,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0
H3_sensitivity_effective_destinations_excl_us_china,H3_sensitivity,Effective destinations excluding US and China,positive,greater,full_reported_family,-0.06815967768535744,0.09345043885333477,-0.7293671225271636,0.7667354881949449,-0.2523009183897546,0.11598156301903972,0.794,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.794,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0
H1_gvc_adverse_deviation_stability_equivalence_bound_0.10,H1 practical-equivalence diagnostic,Adverse forward-GVC deviation stability,,,full_reported_family,,,,,,,,,,858,78.0,,s_tariff_weighted_us_diversion,0.6205441793163275,cluster_tost_equivalence,0.1,0.0011037141369141042,0.6205441793163275,0.6205441793163275,0.0,0.1984938973282434,,,,,,,,,,,,,,,,,,,0.993,0
H1_gvc_adverse_deviation_stability_equivalence_bound_0.20,H1 practical-equivalence diagnostic,Adverse forward-GVC deviation stability,,,full_reported_family,,,,,,,,,,858,78.0,,s_tariff_weighted_us_diversion,0.1327703851982715,cluster_tost_equivalence,0.2,8.264259827769888e-06,0.1327703851982715,0.1327703851982715,0.0,0.1984938973282434,,,,,,,,,,,,,,,,,,,0.6411428571428572,0
H2_log_export_recovery_equivalence_bound_0.10,H2 practical-equivalence diagnostic,Log export recovery,,,full_reported_family,,,,,,,,,,2507,228.0,,s_tariff_weighted_us_diversion,0.3658331203163454,cluster_tost_equivalence,0.1,0.011479562849652618,0.3658331203163454,0.3658331203163454,0.0,0.21372365675577942,,,,,,,,,,,,,,,,,,,0.929076923076923,0
H2_log_export_recovery_equivalence_bound_0.20,H2 practical-equivalence diagnostic,Log export recovery,,,full_reported_family,,,,,,,,,,2507,228.0,,s_tariff_weighted_us_diversion,0.04916424974034883,cluster_tost_equivalence,0.2,0.00019103093116065194,0.04916424974034883,0.04916424974034883,1.0,0.21372365675577942,,,,,,,,,,,,,,,,,,,0.4714285714285715,0
H3_partner_diversification_excl_us_china_equivalence_bound_0.10,H3 practical-equivalence diagnostic,Partner diversification excluding US and China,,,full_reported_family,,,,,,,,,,2507,228.0,,s_tariff_weighted_us_diversion,0.1118777501211591,cluster_tost_equivalence,0.1,0.1118777501211591,0.003411970797053019,0.1118777501211591,0.0,0.14245566334482923,,,,,,,,,,,,,,,,,,,0.6411428571428572,0
H3_partner_diversification_excl_us_china_equivalence_bound_0.20,H3 practical-equivalence diagnostic,Partner diversification excluding US and China,,,full_reported_family,,,,,,,,,,2507,228.0,,s_tariff_weighted_us_diversion,0.0007983135543940457,cluster_tost_equivalence,0.2,0.0007983135543940457,2.201724503594723e-06,0.0007983135543940457,1.0,0.14245566334482923,,,,,,,,,,,,,,,,,,,0.05268869459000702,0
H4_gvc_adverse_deviation_stability,H4,Adverse forward-GVC deviation stability,positive,greater,full_reported_family,-0.1607849694754699,0.08716569848848564,-1.8445899277306794,0.9655284996828748,-0.3343540497177656,0.012784110766825757,0.952,999.0,999.0,858,78.0,11.0,s_tariff_weighted_us_diversion,0.952,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0
H4_log_export_recovery,H4,Log export recovery,positive,greater,full_reported_family,-0.05254721914652795,0.03127302612835731,-1.6802729269259915,0.9528601028735963,-0.11416976370080907,0.009075325407753174,0.925,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0
H4_partner_diversification_excl_us_china,H4,Partner diversification excluding US and China,positive,greater,full_reported_family,0.0044183015372043985,0.00642416233338492,0.6877630588883914,0.24615207446454246,-0.008240314485054556,0.017076917559463355,0.279,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,0.86075,0
H5_gvc_adverse_deviation_stability,H5 exploratory observed-GPR-only,Adverse forward-GVC deviation stability,negative,less,full_reported_family,-0.2087603394485775,0.12325441607501697,-1.6937351706856378,0.04904510292334834,-0.4578668065243642,0.04034612762720918,0.028,999.0,999.0,451,41.0,11.0,s_tariff_weighted_us_diversion,0.028,,,,,,,,directly_observed_only,,,,,,,,,,,,,,,,,,0.4714285714285715,0
