country_iso3_code,year,gpr_country_annual,gpr_profile_knn_annual,gpr_profile_knn_method,gpr_profile_knn_neighbors,gpr_profile_knn_avg_common_features
ABW,2012,,0.14410590196913892,knn_profile_year,5.0,7.0
ABW,2013,,0.1690784702755809,knn_profile_year,5.0,7.0
ABW,2014,,0.1620619940145885,knn_profile_year,5.0,7.0
ABW,2015,,0.19738729003216338,knn_profile_year,5.0,7.0
ABW,2016,,0.18384179815105292,knn_profile_year,5.0,7.0
ABW,2017,,0.4455225683567689,knn_profile_year,5.0,7.0
ABW,2018,,0.4406485209077429,knn_profile_year,5.0,7.0
ABW,2019,,0.37690062470373964,knn_profile_year,5.0,7.0
ABW,2020,,0.20243772541151728,knn_profile_year,5.0,7.0
ABW,2021,,0.22432473854249613,knn_profile_year,5.0,7.0
ABW,2022,,0.17464774432202285,knn_profile_year,5.0,6.0
AFG,2012,,0.07521579459176092,knn_profile_year,5.0,6.0
AFG,2013,,0.0636705946927083,knn_profile_year,5.0,6.0
AFG,2014,,0.24255639968988182,knn_profile_year,5.0,6.0
AFG,2015,,0.13784866732206566,knn_profile_year,5.0,5.8
AFG,2016,,0.08594248845966901,knn_profile_year,5.0,5.8
AFG,2017,,0.10423534328412784,knn_profile_year,5.0,5.8
AFG,2018,,0.08157326610212542,knn_profile_year,5.0,5.8
AFG,2019,,0.11662029602308141,knn_profile_year,5.0,5.8
AFG,2020,,0.0740921529310956,knn_profile_year,5.0,6.8
AFG,2021,,0.10102525468216245,knn_profile_year,5.0,6.8
AFG,2022,,1.389529119266386,knn_profile_year,5.0,6.0
AGO,2012,,0.05238379636737399,knn_profile_year,5.0,7.0
AGO,2013,,0.040357065034195415,knn_profile_year,5.0,7.0
AGO,2014,,0.05449390515830423,knn_profile_year,5.0,7.0
AGO,2015,,0.13862249312061828,knn_profile_year,5.0,6.8
AGO,2016,,0.14158463266322915,knn_profile_year,5.0,6.8
AGO,2017,,0.18737587961630245,knn_profile_year,5.0,6.8
AGO,2018,,0.2464979406889812,knn_profile_year,5.0,6.8
AGO,2019,,0.2776367140208164,knn_profile_year,5.0,6.8
AGO,2020,,0.14458869510574993,knn_profile_year,5.0,6.8
AGO,2021,,0.15045495718169785,knn_profile_year,5.0,6.8
AGO,2022,,0.04627487256103482,knn_profile_year,5.0,6.0
AIA,2012,,0.16647934783592108,knn_profile_year,5.0,3.0
AIA,2013,,0.19848307713793795,knn_profile_year,5.0,3.0
AIA,2014,,0.07087826090514449,knn_profile_year,5.0,3.0
AIA,2015,,0.11354683771815684,knn_profile_year,5.0,3.0
AIA,2016,,0.07147145196510277,knn_profile_year,5.0,3.0
AIA,2017,,0.09656113423132826,knn_profile_year,5.0,3.0
AIA,2018,,0.10606616205752203,knn_profile_year,5.0,3.0
AIA,2019,,0.2181167311607255,knn_profile_year,5.0,3.0
AIA,2020,,0.16937951398254697,knn_profile_year,5.0,3.0
AIA,2021,,0.16653166918462728,knn_profile_year,5.0,3.0
AIA,2022,,0.23391909998588606,knn_profile_year,5.0,3.0
ALB,2012,,0.07414335936798032,knn_profile_year,5.0,7.0
ALB,2013,,0.02399949436337041,knn_profile_year,5.0,7.0
ALB,2014,,0.02587455650921977,knn_profile_year,5.0,7.0
ALB,2015,,0.09190803642789246,knn_profile_year,5.0,7.0
ALB,2016,,0.06770009145622782,knn_profile_year,5.0,7.0
ALB,2017,,0.06228526027106869,knn_profile_year,5.0,7.0
ALB,2018,,0.06671372380697085,knn_profile_year,5.0,7.0
ALB,2019,,0.049848075212359066,knn_profile_year,5.0,7.0
ALB,2020,,0.05783326779057194,knn_profile_year,5.0,7.0
ALB,2021,,0.09190182776527152,knn_profile_year,5.0,7.0
ALB,2022,,0.6893839395612199,knn_profile_year,5.0,6.0
AND,2012,,0.40526473240372723,knn_profile_year,5.0,6.0
AND,2013,,0.48929338702711583,knn_profile_year,5.0,6.0
AND,2014,,0.5911758519740044,knn_profile_year,5.0,6.0
AND,2015,,0.715612074458886,knn_profile_year,5.0,6.0
AND,2016,,0.2560562080891065,knn_profile_year,5.0,6.0
AND,2017,,0.6315715865327507,knn_profile_year,5.0,6.0
AND,2018,,0.613834143247461,knn_profile_year,5.0,6.0
AND,2019,,0.16404632611985118,knn_profile_year,5.0,6.0
AND,2020,,0.46451814047498197,knn_profile_year,5.0,6.0
AND,2021,,0.1953463980173248,knn_profile_year,5.0,6.0
AND,2022,,1.0456323389506736,knn_profile_year,5.0,5.0
ANS,2016,,0.09995897436627622,knn_profile_year_min1,5.0,1.0
ANS,2020,,0.04740369655384653,knn_profile_year_min1,5.0,1.0
ANS,2021,,0.08001822419627735,knn_profile_year_min1,5.0,1.0
ANS,2022,,0.26174250461383397,knn_profile_year_min1,5.0,1.0
ARE,2012,,0.1695240793496216,knn_profile_year,5.0,7.0
ARE,2013,,0.15702493434101522,knn_profile_year,5.0,7.0
ARE,2014,,0.31883221966471353,knn_profile_year,5.0,7.0
ARE,2015,,0.2995985361740049,knn_profile_year,5.0,7.0
ARE,2016,,0.2647891489539463,knn_profile_year,5.0,7.0
ARE,2017,,0.30456726008114016,knn_profile_year,5.0,7.0
ARE,2018,,0.3374286186062444,knn_profile_year,5.0,7.0
ARE,2019,,0.3000908865412333,knn_profile_year,5.0,7.0
ARE,2020,,0.19279340149291133,knn_profile_year,5.0,7.0
ARE,2021,,0.2415956779234924,knn_profile_year,5.0,7.0
ARE,2022,,0.3180823080363173,knn_profile_year,5.0,6.0
ARG,2012,0.018643772,0.018643772,observed_country_gpr,0.0,0.0
ARG,2013,0.020959595,0.020959595,observed_country_gpr,0.0,0.0
ARG,2014,0.018787812,0.018787812,observed_country_gpr,0.0,0.0
ARG,2015,0.027529659,0.027529659,observed_country_gpr,0.0,0.0
ARG,2016,0.021718545,0.021718545,observed_country_gpr,0.0,0.0
ARG,2017,0.016709123,0.016709123,observed_country_gpr,0.0,0.0
ARG,2018,0.07845374,0.07845374,observed_country_gpr,0.0,0.0
ARG,2019,0.038957838,0.038957838,observed_country_gpr,0.0,0.0
ARG,2020,0.015481487,0.015481487,observed_country_gpr,0.0,0.0
ARG,2021,0.013722201,0.013722201,observed_country_gpr,0.0,0.0
ARG,2022,0.03945828,0.03945828,observed_country_gpr,0.0,0.0
ARM,2012,,0.10660316604353602,knn_profile_year,5.0,7.0
ARM,2013,,0.029829042089873328,knn_profile_year,5.0,7.0
ARM,2014,,0.2046420667457866,knn_profile_year,5.0,7.0
ARM,2015,,0.10864995823349687,knn_profile_year,5.0,7.0
ARM,2016,,0.07529767398254834,knn_profile_year,5.0,7.0
ARM,2017,,0.08058001427324127,knn_profile_year,5.0,7.0
ARM,2018,,0.07246809450398674,knn_profile_year,5.0,7.0
ARM,2019,,0.061635795822825426,knn_profile_year,5.0,7.0
ARM,2020,,0.04804147599795439,knn_profile_year,5.0,7.0
ARM,2021,,0.10155186622914103,knn_profile_year,5.0,7.0
ARM,2022,,1.510824646700748,knn_profile_year,5.0,6.0
ASM,2012,,0.09740748403054102,knn_profile_year,5.0,7.0
ASM,2013,,0.11836781207412664,knn_profile_year,5.0,7.0
ASM,2014,,0.16928722310343594,knn_profile_year,5.0,7.0
ASM,2015,,0.2396179883791638,knn_profile_year,5.0,7.0
ASM,2016,,0.10959390606599988,knn_profile_year,5.0,7.0
ASM,2017,,0.08470752773023153,knn_profile_year,5.0,7.0
ASM,2018,,0.1666647504406783,knn_profile_year,5.0,7.0
ASM,2019,,0.1328054864806653,knn_profile_year,5.0,7.0
ASM,2020,,0.12184010895783069,knn_profile_year,5.0,7.0
ASM,2021,,0.16685065129877655,knn_profile_year,5.0,7.0
ASM,2022,,0.5199464296480485,knn_profile_year,5.0,6.0
ATA,2012,,0.10399174723054076,knn_profile_year,5.0,3.0
ATA,2013,,0.17063636420563147,knn_profile_year,5.0,3.0
ATA,2014,,0.4546958015070756,knn_profile_year,5.0,3.0
ATA,2015,,0.3252695441442485,knn_profile_year,5.0,3.0
ATA,2016,,0.30741692974181994,knn_profile_year,5.0,3.0
ATA,2017,,0.2227510870740833,knn_profile_year,5.0,3.0
ATA,2018,,0.4680830558196332,knn_profile_year,5.0,3.0
ATA,2019,,0.5882372508460436,knn_profile_year,5.0,3.0
ATA,2020,,0.3612413924025355,knn_profile_year,5.0,3.0
ATA,2021,,0.4275384686107404,knn_profile_year,5.0,3.0
ATA,2022,,1.5937881735834607,knn_profile_year,5.0,3.0
ATF,2012,,0.20962540982224515,knn_profile_year,5.0,3.0
ATF,2013,,0.16466376941796074,knn_profile_year,5.0,3.0
ATF,2014,,0.36318454336765876,knn_profile_year,5.0,3.0
ATF,2015,,0.35933075248113505,knn_profile_year,5.0,3.0
ATF,2016,,0.2980190474600573,knn_profile_year,5.0,3.0
ATF,2017,,0.3380724071638066,knn_profile_year,5.0,3.0
ATF,2018,,0.40079101868562933,knn_profile_year,5.0,3.0
ATF,2019,,0.32136674337644333,knn_profile_year,5.0,3.0
ATF,2020,,0.0841211914465635,knn_profile_year,5.0,3.0
ATF,2021,,0.2581697492646129,knn_profile_year,5.0,3.0
ATF,2022,,1.6552726120611096,knn_profile_year,5.0,3.0
ATG,2012,,0.16238012097206847,knn_profile_year,5.0,5.4
ATG,2013,,0.025675206529788663,knn_profile_year,5.0,6.0
ATG,2014,,0.03956158154530669,knn_profile_year,5.0,7.0
ATG,2015,,0.11754097937137672,knn_profile_year,5.0,7.0
ATG,2016,,0.03669366148665486,knn_profile_year,5.0,7.0
ATG,2017,,0.03718598892904694,knn_profile_year,5.0,7.0
ATG,2018,,0.043534304513173465,knn_profile_year,5.0,7.0
ATG,2019,,0.04060597950121763,knn_profile_year,5.0,7.0
ATG,2020,,0.023670894433136684,knn_profile_year,5.0,7.0
ATG,2021,,0.02803486852335172,knn_profile_year,5.0,7.0
ATG,2022,,0.07834289759995793,knn_profile_year,5.0,6.0
AUS,2012,0.061924983,0.061924983,observed_country_gpr,0.0,0.0
AUS,2013,0.058548823,0.058548823,observed_country_gpr,0.0,0.0
AUS,2014,0.12426972,0.12426972,observed_country_gpr,0.0,0.0
AUS,2015,0.082034834,0.082034834,observed_country_gpr,0.0,0.0
AUS,2016,0.07304541,0.07304541,observed_country_gpr,0.0,0.0
AUS,2017,0.11699405,0.11699405,observed_country_gpr,0.0,0.0
AUS,2018,0.09539042,0.09539042,observed_country_gpr,0.0,0.0
AUS,2019,0.12962687,0.12962687,observed_country_gpr,0.0,0.0
AUS,2020,0.12218092,0.12218092,observed_country_gpr,0.0,0.0
AUS,2021,0.17193158,0.17193158,observed_country_gpr,0.0,0.0
AUS,2022,0.23753847,0.23753847,observed_country_gpr,0.0,0.0
AUT,2012,,0.5081061697618741,knn_profile_year,5.0,7.0
AUT,2013,,0.29080287790405807,knn_profile_year,5.0,7.0
AUT,2014,,0.32009018954614143,knn_profile_year,5.0,7.0
AUT,2015,,0.41571179448450557,knn_profile_year,5.0,7.0
AUT,2016,,0.361480609438455,knn_profile_year,5.0,7.0
AUT,2017,,0.28624783691209094,knn_profile_year,5.0,7.0
AUT,2018,,0.3408112011714423,knn_profile_year,5.0,7.0
AUT,2019,,0.2761268516270925,knn_profile_year,5.0,7.0
AUT,2020,,0.20943225019312062,knn_profile_year,5.0,7.0
AUT,2021,,0.2551096594547586,knn_profile_year,5.0,7.0
AUT,2022,,0.6319793931160207,knn_profile_year,5.0,6.0
AZE,2012,,0.20133896528011416,knn_profile_year,5.0,7.0
AZE,2013,,0.15075606758466403,knn_profile_year,5.0,7.0
AZE,2014,,0.24551840953483622,knn_profile_year,5.0,7.0
AZE,2015,,0.2897261681419051,knn_profile_year,5.0,6.8
AZE,2016,,0.24850330043936086,knn_profile_year,5.0,6.8
AZE,2017,,0.28577526522592467,knn_profile_year,5.0,6.8
AZE,2018,,0.347150226803451,knn_profile_year,5.0,6.8
AZE,2019,,0.34405833820533877,knn_profile_year,5.0,6.8
AZE,2020,,0.1832133618068474,knn_profile_year,5.0,6.8
AZE,2021,,0.2076093618237523,knn_profile_year,5.0,6.8
AZE,2022,,1.4716811034807786,knn_profile_year,5.0,6.0
BDI,2012,,0.07824770421449892,knn_profile_year,5.0,6.0
BDI,2013,,0.06341883389054126,knn_profile_year,5.0,6.0
BDI,2014,,0.2459422930126948,knn_profile_year,5.0,6.0
BDI,2015,,0.3028834416227796,knn_profile_year,5.0,5.8
BDI,2016,,0.25016900135697756,knn_profile_year,5.0,5.8
BDI,2017,,0.3040345876551879,knn_profile_year,5.0,5.8
BDI,2018,,0.2779974873751234,knn_profile_year,5.0,5.8
BDI,2019,,0.2514078855463616,knn_profile_year,5.0,5.8
BDI,2020,,0.18508667361785897,knn_profile_year,5.0,5.8
BDI,2021,,0.11262740989221275,knn_profile_year,5.0,5.8
BDI,2022,,0.8464425095884859,knn_profile_year,5.0,5.0
BEL,2012,0.08174959,0.08174959,observed_country_gpr,0.0,0.0
BEL,2013,0.083083,0.083083,observed_country_gpr,0.0,0.0
BEL,2014,0.20464909,0.20464909,observed_country_gpr,0.0,0.0
BEL,2015,0.19939673,0.19939673,observed_country_gpr,0.0,0.0
BEL,2016,0.33036837,0.33036837,observed_country_gpr,0.0,0.0
BEL,2017,0.1829149,0.1829149,observed_country_gpr,0.0,0.0
BEL,2018,0.24377014,0.24377014,observed_country_gpr,0.0,0.0
BEL,2019,0.1660389,0.1660389,observed_country_gpr,0.0,0.0
BEL,2020,0.15386364,0.15386364,observed_country_gpr,0.0,0.0
BEL,2021,0.22562659,0.22562659,observed_country_gpr,0.0,0.0
BEL,2022,0.4924064,0.4924064,observed_country_gpr,0.0,0.0
BEN,2012,,0.016802507228790252,knn_profile_year,5.0,7.0
BEN,2013,,0.015526615926449678,knn_profile_year,5.0,7.0
BEN,2014,,0.02648559315747136,knn_profile_year,5.0,7.0
BEN,2015,,0.023911091447107576,knn_profile_year,5.0,6.8
BEN,2016,,0.027707988589271978,knn_profile_year,5.0,6.8
BEN,2017,,0.033233014918077244,knn_profile_year,5.0,6.8
BEN,2018,,0.04673687821853224,knn_profile_year,5.0,6.8
BEN,2019,,0.082471033024284,knn_profile_year,5.0,6.8
BEN,2020,,0.03240527567452871,knn_profile_year,5.0,6.8
BEN,2021,,0.0365323554565392,knn_profile_year,5.0,6.8
BEN,2022,,0.044285710887413635,knn_profile_year,5.0,6.0
BES,2012,,0.1477518731227475,knn_profile_year,5.0,3.0
BES,2013,,0.27629221379400387,knn_profile_year,5.0,3.0
BES,2014,,0.0768064584852653,knn_profile_year,5.0,3.0
BES,2015,,0.3626411379800014,knn_profile_year,5.0,3.0
BES,2016,,0.27993866548090873,knn_profile_year,5.0,3.0
BES,2017,,0.42994260921094474,knn_profile_year,5.0,3.0
BES,2018,,0.404273734640967,knn_profile_year,5.0,3.0
BES,2019,,0.34649599792755365,knn_profile_year,5.0,3.0
BES,2020,,0.26180644159402827,knn_profile_year,5.0,3.0
BES,2021,,0.11005376501251986,knn_profile_year,5.0,3.0
BES,2022,,1.5887504526722471,knn_profile_year,5.0,3.0
BFA,2012,,0.07761347895284897,knn_profile_year,5.0,7.0
BFA,2013,,0.06173719267266789,knn_profile_year,5.0,7.0
BFA,2014,,0.0649898633340833,knn_profile_year,5.0,7.0
BFA,2015,,0.2675747651208847,knn_profile_year,5.0,6.8
BFA,2016,,0.23939146545293077,knn_profile_year,5.0,6.8
BFA,2017,,0.27840395601626555,knn_profile_year,5.0,6.8
BFA,2018,,0.08238896049722667,knn_profile_year,5.0,6.8
BFA,2019,,0.11262716567089485,knn_profile_year,5.0,6.8
BFA,2020,,0.18078324479222582,knn_profile_year,5.0,6.8
BFA,2021,,0.23160632592012764,knn_profile_year,5.0,6.8
BFA,2022,,0.8526257614576966,knn_profile_year,5.0,6.0
BGD,2012,,0.06444219418526963,knn_profile_year,5.0,7.0
BGD,2013,,0.017713405716977562,knn_profile_year,5.0,7.0
BGD,2014,,0.026073387926617706,knn_profile_year,5.0,7.0
BGD,2015,,0.02710523058734424,knn_profile_year,5.0,6.8
BGD,2016,,0.031137767246451255,knn_profile_year,5.0,6.8
BGD,2017,,0.047746361424751,knn_profile_year,5.0,6.8
BGD,2018,,0.04964721921825481,knn_profile_year,5.0,6.8
BGD,2019,,0.08441799582423538,knn_profile_year,5.0,6.8
BGD,2020,,0.05480713763935365,knn_profile_year,5.0,6.8
BGD,2021,,0.0405009674502499,knn_profile_year,5.0,6.8
BGD,2022,,0.6884306684004445,knn_profile_year,5.0,6.0
BGR,2012,,0.1061860238044279,knn_profile_year,5.0,7.0
BGR,2013,,0.06547431541486164,knn_profile_year,5.0,7.0
BGR,2014,,0.10468390412748482,knn_profile_year,5.0,7.0
BGR,2015,,0.11534032028272986,knn_profile_year,5.0,7.0
BGR,2016,,0.05064673174503564,knn_profile_year,5.0,7.0
BGR,2017,,0.09830792408399973,knn_profile_year,5.0,7.0
BGR,2018,,0.03375755635076884,knn_profile_year,5.0,7.0
BGR,2019,,0.09169184994493136,knn_profile_year,5.0,7.0
BGR,2020,,0.030099550811703957,knn_profile_year,5.0,7.0
BGR,2021,,0.06329337273833308,knn_profile_year,5.0,7.0
BGR,2022,,0.2389720717149165,knn_profile_year,5.0,6.0
BHR,2012,,0.18658501576501593,knn_profile_year,5.0,7.0
BHR,2013,,0.17151653844611361,knn_profile_year,5.0,7.0
BHR,2014,,0.35467563146733605,knn_profile_year,5.0,7.0
BHR,2015,,0.340398239262939,knn_profile_year,5.0,7.0
BHR,2016,,0.318238671765153,knn_profile_year,5.0,7.0
BHR,2017,,0.3428612338242267,knn_profile_year,5.0,7.0
BHR,2018,,0.38852465182558915,knn_profile_year,5.0,7.0
BHR,2019,,0.3253370502536592,knn_profile_year,5.0,7.0
BHR,2020,,0.2200049017857262,knn_profile_year,5.0,7.0
BHR,2021,,0.24001644552719717,knn_profile_year,5.0,7.0
BHR,2022,,0.8181457396432058,knn_profile_year,5.0,6.0
BHS,2012,,0.11832826226832643,knn_profile_year,5.0,7.0
BHS,2013,,0.1965306078644513,knn_profile_year,5.0,7.0
BHS,2014,,0.10828585558722122,knn_profile_year,5.0,7.0
BHS,2015,,0.11975639568014029,knn_profile_year,5.0,7.0
BHS,2016,,0.06909171072320573,knn_profile_year,5.0,7.0
BHS,2017,,0.25077331175244205,knn_profile_year,5.0,7.0
BHS,2018,,0.12360132339456782,knn_profile_year,5.0,7.0
BHS,2019,,0.11287538933906908,knn_profile_year,5.0,7.0
BHS,2020,,0.05181870821987306,knn_profile_year,5.0,7.0
BHS,2021,,0.07228446919944775,knn_profile_year,5.0,7.0
BHS,2022,,0.11772108900966301,knn_profile_year,5.0,6.0
BIH,2012,,0.10285846885030743,knn_profile_year,5.0,7.0
BIH,2013,,0.08274448402634595,knn_profile_year,5.0,7.0
BIH,2014,,0.25446504117184465,knn_profile_year,5.0,7.0
BIH,2015,,0.1625020179977209,knn_profile_year,5.0,7.0
BIH,2016,,0.1435530893538594,knn_profile_year,5.0,7.0
BIH,2017,,0.07543210578933866,knn_profile_year,5.0,7.0
BIH,2018,,0.18011294461931604,knn_profile_year,5.0,7.0
BIH,2019,,0.17321875790027522,knn_profile_year,5.0,7.0
BIH,2020,,0.14762061924086983,knn_profile_year,5.0,7.0
BIH,2021,,0.19672026426193417,knn_profile_year,5.0,7.0
BIH,2022,,0.8334120968719634,knn_profile_year,5.0,6.0
BLM,2013,,0.2057193094748935,knn_profile_year,5.0,3.0
BLM,2014,,0.4772422549463491,knn_profile_year,5.0,3.0
BLM,2015,,0.360583200042231,knn_profile_year,5.0,3.0
BLM,2016,,0.2198015165624904,knn_profile_year,5.0,3.0
BLM,2017,,0.3137303254946281,knn_profile_year,5.0,3.0
BLM,2018,,0.3711600782973957,knn_profile_year,5.0,3.0
BLM,2019,,0.2835792848860112,knn_profile_year,5.0,3.0
BLM,2020,,0.18922841822430142,knn_profile_year,5.0,3.0
BLM,2021,,0.4086724058599936,knn_profile_year,5.0,3.0
BLM,2022,,1.6695830331755517,knn_profile_year,5.0,3.0
BLR,2012,,0.11349364767972873,knn_profile_year,5.0,7.0
BLR,2013,,0.10101116476310326,knn_profile_year,5.0,7.0
BLR,2014,,0.3292422626458038,knn_profile_year,5.0,7.0
BLR,2015,,0.19855289087415381,knn_profile_year,5.0,7.0
BLR,2016,,0.08756215483846877,knn_profile_year,5.0,7.0
BLR,2017,,0.07940930319970994,knn_profile_year,5.0,7.0
BLR,2018,,0.06653373702756646,knn_profile_year,5.0,7.0
BLR,2019,,0.05384924225386668,knn_profile_year,5.0,7.0
BLR,2020,,0.1653018030950166,knn_profile_year,5.0,7.0
BLR,2021,,0.1084965364083488,knn_profile_year,5.0,7.0
BLR,2022,,1.72744648418164,knn_profile_year,5.0,6.0
BLZ,2012,,0.015564346283421793,knn_profile_year,5.0,7.0
BLZ,2013,,0.01580282311018741,knn_profile_year,5.0,7.0
BLZ,2014,,0.021339102068428203,knn_profile_year,5.0,7.0
BLZ,2015,,0.021363386526526102,knn_profile_year,5.0,7.0
BLZ,2016,,0.027161155886959897,knn_profile_year,5.0,7.0
BLZ,2017,,0.03188960316350583,knn_profile_year,5.0,7.0
BLZ,2018,,0.036172687792918476,knn_profile_year,5.0,7.0
BLZ,2019,,0.04362589873936473,knn_profile_year,5.0,7.0
BLZ,2020,,0.02866237919657443,knn_profile_year,5.0,7.0
BLZ,2021,,0.02792987020861261,knn_profile_year,5.0,7.0
BLZ,2022,,0.03834481090650075,knn_profile_year,5.0,6.0
BMU,2012,,0.5465129336482492,knn_profile_year,5.0,7.0
BMU,2013,,0.5250608965622987,knn_profile_year,5.0,7.0
BMU,2014,,0.8301695926991528,knn_profile_year,5.0,7.0
BMU,2015,,0.6458937753626476,knn_profile_year,5.0,7.0
BMU,2016,,0.15098032331642797,knn_profile_year,5.0,7.0
BMU,2017,,0.6710746532457591,knn_profile_year,5.0,7.0
BMU,2018,,0.29519178219480136,knn_profile_year,5.0,7.0
BMU,2019,,0.1839392173838506,knn_profile_year,5.0,7.0
